06/02/2023,PINGO DOCE DUQUE D ALISBOA,"9,6"
29/01/2023,LIDL AGRADECE 2870-438 MONTPT,"-23,17"
28/01/2023,LIDL AGRADECE 2870-438 MONTPT,"-23,51"
27/01/2023,CARREGAMENTO PT,"-6,43"
24/01/2023,PINGO DOCE DUQUE D A LISBOA PT,"-16,5"
14/01/2023,MODELO HIPER ALHOS VEDROS PT 0.00,"18,52"
11/01/2023,LIDL AGRADECE PT 0.00,"23,12"
03/01/2023,CONTINENTE BOM DIA PT 0.00,"-25,83"
31/12/2022,ALDI PALMELA PT 0.00,"25,51"
28/12/2022,CARREGAMENTO PT 0.00,"-15,02"
19/12/2022,PINGO DOCE DUQUE D A PT 0.00,"0,03"
25/11/2022,CARREGAMENTO PT 0.00,"-8,59"
27/10/2022,CARREGAMENTO PT 0.00,"-0,48"
28/09/2022,CARREGAMENTO PT 0.00,"-28,24"
